variable,or,se,ll,ul,p.value,race,model
(Intercept),1.855929191387838e-4,1.5597918887853246,8.726084393502773e-6,0.003947329647659818,3.6211347476111655e-8,Asian American,weighted
as.numeric(math_4level),2.216824812076543,0.2704166597278791,1.304698112164682,3.766627851775342,0.003241190207335487,Asian American,weighted
as.numeric(par_exp),1.2154597003253487,0.10998136015383676,0.9795238721356775,1.5082248887859202,0.07603995204892922,Asian American,weighted
as.numeric(par_sch_inv),1.1398503209947135,0.08792849595231797,0.9593875984721302,1.3542584418861388,0.13657296320904377,Asian American,weighted
female1,1.0351071364315043,0.30023701765751803,0.5746544903972188,1.8645060672036375,0.9085040529477113,Asian American,weighted
par_ba,0.9793134719067802,0.2779467641841277,0.5677231529274671,1.6893002712902248,0.9400501598192386,Asian American,weighted
as.factor(first_lang)2,1.4083201930744644,0.36809985899049635,0.684432827471831,2.89782384276845,0.35227998385673365,Asian American,weighted
as.factor(first_lang)3,0.6925787919404827,0.3886439404973498,0.32329298566736836,1.4836863288437052,0.34457383275980846,Asian American,weighted
frpl1,1.1791769050272543,0.3677558902105792,0.5732020323798664,2.425773278536082,0.6540314938100884,Asian American,weighted
math_score,1.0987145172863517,0.026347932866224583,1.0434103521681304,1.1569499842390505,3.529295161472934e-4,Asian American,weighted
public,1.2191132360918513,0.42352735711213785,0.5314644634222717,2.7964938104120534,0.639931603913021,Asian American,weighted
as.factor(x1locale)2,1.553735007944142,0.34613177786892885,0.7881935490913552,3.062816839460556,0.20298117673301275,Asian American,weighted
as.factor(x1locale)3,0.79810587056097,0.6639031991970051,0.2168887412626655,2.9368651268646113,0.734098226179595,Asian American,weighted
as.factor(x1locale)4,1.6453220088667588,0.4910925838648695,0.6281798169176372,4.3094102038243,0.3106136174578664,Asian American,weighted
(Intercept),0.0015467259363394397,1.8386577294628936,4.210054383222858e-5,0.05682494581729676,4.3195432458831284e-4,Black,weighted
as.numeric(math_4level),1.5752385061955678,0.17701900222814604,1.1134185488802832,2.2286105740708706,0.01025844263665987,Black,weighted
as.numeric(par_exp),1.2772729204340791,0.13897218466703143,0.9720848325936823,1.6782754535129285,0.07824174374750914,Black,weighted
as.numeric(par_sch_inv),1.216350901989228,0.09308314382590661,1.0126802262248438,1.4609839102768414,0.03537059648947305,Black,weighted
female1,1.4200405433108085,0.29563961947539,0.7951961899633139,2.5358712354236603,0.23554638956954244,Black,weighted
par_ba,1.8688351077645715,0.26664199283313184,1.1081223834757292,3.151767992501628,0.01901945863425092,Black,weighted
as.factor(first_lang)2,0.1016872882139876,1.542998264565318,0.004941498565775278,2.0925442852359266,0.1384904621256402,Black,weighted
as.factor(first_lang)3,0.1334516957678021,1.5833129684459175,0.005992415499346724,2.971982684652549,0.20336378413031486,Black,weighted
frpl1,1.0730873282875426,0.2897398989633298,0.6079834280057209,1.893993094365165,0.8076496790444003,Black,weighted
math_score,1.0870497885860821,0.017531314632721076,1.050324394765493,1.1250593138216884,1.9259130432658367e-6,Black,weighted
public,2.7302203127769533,0.39250013745330453,1.2648476155060835,5.8932814237210644,0.01049933958263738,Black,weighted
as.factor(x1locale)2,1.147054402328042,0.3176952041425932,0.6149349630746604,2.13963082424441,0.6658490795574696,Black,weighted
as.factor(x1locale)3,0.5140764049728567,0.6202182710797297,0.15217678032847545,1.7366286077243627,0.2833512985430855,Black,weighted
as.factor(x1locale)4,1.0302688456078382,0.35880898209988965,0.5096520267481294,2.082703174954073,0.9337659164016405,Black,weighted
(Intercept),1.468023207158162e-4,1.0116526147213987,2.019038411769121e-5,0.001067385406930718,0,Latinx,weighted
